Benchmark Diffy Vajra VeriAbs VIAP
brs1.c 1.28 0.38 18.70 70.08
brs2.c 0.54 0.29 16.05 68.23
brs3.c 0.34 0.30 16.07 69.42
brs4.c 0.55 0.30 16.03 68.75
brs5.c 0.54 0.30 16.16 69.20
conda.c 0.51 0.36 16.27 72.09
eqn1.c 0.46 0.41 11.48 78.07
eqn2.c 0.62 0.41 11.62 100
eqn3.c 0.45 0.45 100 100
eqn4.c 0.46 0.42 100 100
eqn5.c 0.45 0.40 100 100
ifcomp.c 0.74 0.77 100 100
ifeqn1.c 0.46 0.43 100 94.45
ifeqn2.c 0.60 0.43 100 100
ifeqn3.c 0.49 0.43 100 100
ifeqn4.c 0.60 0.43 100 100
ifeqn5.c 0.46 0.46 100 100
ifncomp.c 0.78 0.77 100 100
indp1.c 0.49 0.34 11.48 59.09
indp2.c 0.44 0.33 11.51 21.87
indp3.c 0.56 0.43 11.12 43.39
indp4.c 0.42 0.37 11.17 37.49
indp5.c 0.72 0.53 16.26 84.75
ncomp.c 0.66 0.69 11.53 100
nsqm.c 0.48 0.40 11.46 100
nsqm-if.c 0.47 0.46 100 86.83
pcomp.c 0.67 0.66 11.50 100
res1.c 0.52 0.38 16.00 75.23
res1o.c 0.51 0.39 16.58 75.45
res2.c 0.77 0.64 16.90 81.20
res2o.c 0.77 0.62 16.56 81.89
s12if.c 0.53 0.42 16.22 76.74
s1if.c 0.34 0.29 16.13 70.32
s1lif.c 0.45 0.36 16.56 72.60
s22if.c 0.49 0.43 16.17 74.45
s2if.c 0.33 0.29 16.19 71.05
s2lif.c 0.46 0.37 16.29 71.95
s32if.c 0.50 0.43 16.98 74.41
s3if.c 0.31 0.28 16.36 73.30
s3lif.c 0.47 0.37 16.30 71.76
s42if.c 0.52 0.42 16.39 100
s4if.c 0.34 0.28 16.13 71.19
s4lif.c 0.47 0.36 16.35 71.57
s52if.c 0.50 0.43 16.45 78.69
s5if.c 0.34 0.30 15.96 69.89
s5lif.c 0.45 0.36 16.37 71.39
sanfoundry_27_ground.c 0.38 0.33 16.45 37.66
sina1.c 0.32 0.33 28.67 73.08
sina2.c 0.48 0.43 29.42 76.31
sina3.c 0.50 0.44 30.23 79.07
sina4.c 0.62 0.48 30.38 79.68
sina5.c 0.79 0.63 31.13 81.57
sqm.c 0.46 0.40 11.48 82.00
sqm-if.c 0.46 0.43 100 85.83
ss1.c 0.63 0.53 16.32 75.04
ss2.c 0.97 0.88 100 84.27
ss3.c 0.71 0.58 16.56 76.82
ss4.c 0.65 0.52 16.52 74.71
ssina.c 0.91 0.80 100 83.70
standard_compare_ground.c 0.36 0.30 16.01 19.28
standard_compareModified_ground.c 0.40 0.32 28.82 100
standard_copy1_ground-1.c 0.22 0.22 11.31 16.88
standard_copy2_ground-2.c 0.31 0.29 11.34 77.00
standard_copy3_ground-1.c 0.41 0.34 11.53 32.08
standard_copy4_ground-1.c 0.50 0.45 11.62 71.64
standard_copy5_ground-1.c 0.62 0.52 11.68 87.81
standard_copy6_ground-2.c 0.71 0.61 11.91 89.76
standard_copy7_ground-2.c 0.82 0.73 11.81 93.79
standard_copy8_ground-1.c 0.98 0.85 11.86 98.37
standard_copy9_ground-2.c 1.11 0.99 12.10 100.80
standard_copyInit_ground.c 0.21 0.18 30.11 74.68
standard_copyInitSum2_ground-2.c 0.35 0.28 31.51 76.95
standard_copyInitSum3_ground.c 0.52 0.41 11.56 81.00
standard_copyInitSum_ground.c 0.38 0.33 16.59 100
standard_init1_ground-2.c 0.13 0.13 29.75 17.42
standard_init2_ground-2.c 0.19 0.16 30.20 19.26
standard_init3_ground-2.c 0.24 0.20 30.61 23.13
standard_init4_ground-2.c 0.29 0.25 30.85 79.57
standard_init5_ground-1.c 0.35 0.28 31.45 29.96
standard_init6_ground-2.c 0.40 0.33 32.33 84.89
standard_init7_ground-2.c 0.47 0.38 32.41 87.89
standard_init8_ground-2.c 0.55 0.45 32.89 30.50
standard_init9_ground-2.c 0.63 0.54 32.98 84.13
standard_maxInArray_ground.c 0.37 0.30 16.30 101.23
standard_minInArray_ground-2.c 0.36 0.31 16.37 100
standard_password_ground.c 0.36 0.32 15.89 17.49
standard_running-2.c 0.43 0.38 16.70 100
standard_seq_init_ground.c 0.24 0.20 11.35 22.48
standard_strcmp_ground.c 0.36 0.32 16.63 19.21
standard_vector_difference_ground.c 0.35 0.31 11.47 76.04
zero_sum1.c 0.44 0.37 16.17 71.67
zero_sum2.c 0.82 0.65 16.49 77.06
zero_sum3.c 1.23 0.99 17.65 83.02
zero_sum4.c 1.72 1.37 17.93 89.46
zero_sum5.c 2.30 1.80 18.69 95.76
zero_sum_const1.c 0.44 0.36 16.03 69.59
zero_sum_const2.c 0.85 0.66 16.52 76.42
zero_sum_const3.c 1.22 0.95 17.31 81.79
zero_sum_const4.c 1.70 1.39 18.09 88.93
zero_sum_const5.c 2.26 1.82 18.72 94.51
zero_sum_const_m2.c 0.84 0.68 16.68 76.55
zero_sum_const_m3.c 1.25 0.98 17.42 82.53
zero_sum_const_m4.c 1.71 1.37 17.90 89.07
zero_sum_const_m5.c 2.22 1.83 18.65 95.99
zero_sum_const_m6.c 2.79 2.33 19.75 101.54
zero_sum_m2.c 0.86 0.66 16.69 77.79
zero_sum_m3.c 1.23 0.98 17.47 83.89
zero_sum_m4.c 1.68 1.36 17.95 90.59
zero_sum_m5.c 2.21 1.84 18.71 96.78
zero_sum_m6.c 2.83 2.30 19.30 102.84
