Benchmark Diffy Vajra VeriAbs VIAP
cond1.c 0.47 60 60 60
cond2.c 0.52 60 60 60
cond2s1.c 0.64 60 60 33.14
cond2s2.c 0.63 60 60 60
condg.c 0.53 60 60 60
condi.c 0.32 60 11.29 18.30
condm.c 0.33 60 11.43 44.11
condn.c 0.32 60 11.78 20.30
condnl1.c 0.55 60 60 60
conds2.c 0.53 60 60 60
conds.c 0.54 60 32.02 60
condsc.c 0.57 60 60 60
condss1.c 0.85 60 60 60
condss2.c 0.83 60 60 60
condss3.c 0.78 60 60 60
condss.c 0.83 60 60 60
modn.c 60 60 60 60
modp.c 60 60 60 60
mods.c 60 60 29.55 60
ms1.c 0.33 60 60 60
ms2.c 0.34 60 60 60
ms3.c 0.31 60 60 60
ms4.c 0.31 60 60 60
ms5.c 0.31 60 60 60
nested-as1.c 0.64 60 60 60
nested-as2.c 0.67 60 60 60
nested-as3.c 0.61 60 60 60
nested-nli1.c 0.30 60 11.87 60
nested-nli2.c 0.29 60 11.52 60
nested-nli3.c 0.29 60 11.52 60
nested-nlj1.c 60 60 11.68 60
nested-nlj2.c 60 60 11.72 60
nested-nlj3.c 60 60 11.42 60
nested-nsna1.c 0.49 60 60 60
nested-nsna2.c 0.52 60 60 60
nested-nsna3.c 0.51 60 60 60
nested-sa1.c 0.48 60 60 60
nested-sna1.c 0.49 60 60 60
nested-sna2.c 0.52 60 60 60
nested-sna3.c 0.49 60 60 60
nested-ss1.c 0.84 60 60 60
nested-ss2.c 0.85 60 60 60
nested-ss3.c 0.86 60 60 60
nested-sum.c 0.23 60 60 60
nested-unb1.c 0.32 60 11.50 60
nested-unb2.c 0.32 60 11.46 60
nested-unb3.c 0.31 60 11.48 60
