Benchmark Diffy Vajra VeriAbs VIAP
cond1f.c 0.36 0.30 34.97 20.22
cond2f.c 0.48 60 46.68 20.62
cond2s1f.c 0.58 60 50.66 20.00
cond2s2f.c 0.61 60 60 19.56
condgf.c 0.50 0.36 35.69 19.76
condif.c 0.29 0.21 16.76 17.53
condmf.c 0.26 0.21 16.42 17.41
condnf.c 0.28 0.22 16.96 17.16
condnl1f.c 0.54 60 60 60
conds2f.c 0.52 60 60 20.36
condscf.c 0.50 0.39 21.27 19.67
condsf.c 0.48 0.37 31.15 19.96
condss1f.c 0.80 60 52.35 24.54
condss2f.c 0.77 60 60 60
condss3f.c 0.69 0.55 22.37 24.86
condssf.c 0.67 0.55 60 25.63
modnf.c 0.30 0.22 28.54 15.52
modpf.c 0.30 0.23 30.28 15.50
modsf.c 0.61 0.44 36.04 60
ms1f.c 0.26 0.20 21.40 13.43
ms2f.c 0.25 0.22 21.92 14.03
ms3f.c 0.25 0.19 21.32 13.99
ms4f.c 0.26 0.21 21.46 13.75
ms5f.c 0.26 0.21 21.79 13.90
nested-as1f.c 0.54 60 49.20 60
nested-as2f.c 0.57 60 38.24 60
nested-as3f.c 0.54 60 49.27 60
nested-nli1f.c 0.24 60 17.03 60
nested-nli2f.c 0.25 60 16.74 60
nested-nli3f.c 0.25 60 17.42 60
nested-nlj1f.c 60 60 17.03 60
nested-nlj2f.c 60 60 16.87 60
nested-nlj3f.c 60 60 16.76 60
nested-nsna1f.c 0.49 60 44.21 60
nested-nsna2f.c 0.46 60 56.60 60
nested-nsna3f.c 0.49 60 60 60
nested-sa1.c 0.38 60 35.71 60
nested-sna1f.c 0.43 60 37.05 60
nested-sna2f.c 0.45 60 48.15 60
nested-sna3f.c 0.46 60 45.41 60
nested-ss1f.c 0.76 60 49.73 60
nested-ss2f.c 0.86 60 41.84 60
nested-ss3f.c 0.77 60 50.54 60
nested-sumf.c 0.20 60 32.61 60
nested-unb1f.c 0.29 60 16.55 60
nested-unb2f.c 0.31 60 17.01 60
nested-unb3f.c 0.27 60 16.81 60
